index,video_id,date_published,date_published_millis,year,month,day,duration,tags,title,views,Count,originalSentence,start,verse,valid,book,testament,bookIndex,chapterNum,verseNum,chapterStr,verseStr
10,kXakoTyVOwU,2021-08-22,1629604800000,2021,8,22,3.199,,Faith That Won't Back Down,116,1,second timothy one we know the scripture,6404.0,2 Timothy 1,True,2 Timothy,NEW,54,0,0,0,0
11,kXakoTyVOwU,2021-08-22,1629604800000,2021,8,22,5.68,,Faith That Won't Back Down,116,1,and then leviticus 6 12 says this and,6529.28,Leviticus 6:12,True,Leviticus,OLD,2,6,12,6,12
12,kXakoTyVOwU,2021-08-22,1629604800000,2021,8,22,4.799,,Faith That Won't Back Down,116,1,in faith he found mark 11 23 24 and 25,6811.92,Mark 11:23,True,Mark,NEW,40,11,23,11,23
13,kXakoTyVOwU,2021-08-22,1629604800000,2021,8,22,4.559,,Faith That Won't Back Down,116,1,and in isaiah chapter 14 i love this,7160.08,Isaiah 14,True,Isaiah,OLD,22,14,0,14,0
14,kXakoTyVOwU,2021-08-22,1629604800000,2021,8,22,5.84,,Faith That Won't Back Down,116,1,scripture verse 16 so powerful isaiah 14,7161.92,Isaiah 14,True,Isaiah,OLD,22,14,0,14,0
15,kXakoTyVOwU,2021-08-22,1629604800000,2021,8,22,4.0,,Faith That Won't Back Down,116,1,pound this in luke chapter 10 verse 18,7428.32,Luke 10:18,True,Luke,NEW,41,10,18,10,18
16,kXakoTyVOwU,2021-08-22,1629604800000,2021,8,22,5.28,,Faith That Won't Back Down,116,1,the bible says in first john 4 6 it says,7969.28,1 John 4:6,True,1 John,NEW,61,0,0,0,0
17,kXakoTyVOwU,2021-08-22,1629604800000,2021,8,22,4.239,,Faith That Won't Back Down,116,1,isaiah chapter 6 verse 1 i love this it,8140.96,Isaiah 6:1,True,Isaiah,OLD,22,6,1,6,1
18,kXakoTyVOwU,2021-08-22,1629604800000,2021,8,22,4.0,,Faith That Won't Back Down,116,1,and all this jesus said in matthew 24,8447.68,Matthew 24,True,Matthew,NEW,39,24,0,24,0
19,o0HEwTHovJQ,2020-05-14,1589428800000,2020,5,14,5.82,,FORWARD - ALL AROUND VICTORY P2 TV,7,1,foundation scripture John chapter 16,65.46,John 16,True,John,NEW,42,16,0,16,0
20,o0HEwTHovJQ,2020-05-14,1589428800000,2020,5,14,6.48,,FORWARD - ALL AROUND VICTORY P2 TV,7,1,verse 33 and then also 1st John 5 4 John,67.47,1 John 5:4,True,1 John,NEW,61,0,0,0,0
21,o0HEwTHovJQ,2020-05-14,1589428800000,2020,5,14,5.791,,FORWARD - ALL AROUND VICTORY P2 TV,7,1,John 5:4 says whatsoever is born of God,88.229,John 5:4,True,John,NEW,42,5,4,5,4
22,o0HEwTHovJQ,2020-05-14,1589428800000,2020,5,14,4.83,,FORWARD - ALL AROUND VICTORY P2 TV,7,1,you see in mark chapter 4 about the word,176.439,Mark 4,True,Mark,NEW,40,4,0,4,0
23,o0HEwTHovJQ,2020-05-14,1589428800000,2020,5,14,3.659,,FORWARD - ALL AROUND VICTORY P2 TV,7,1,was by faith in Hebrews 11 that they,244.72,Hebrews 11,True,Hebrews,NEW,57,11,0,11,0
24,o0HEwTHovJQ,2020-05-14,1589428800000,2020,5,14,5.49,,FORWARD - ALL AROUND VICTORY P2 TV,7,1,hebrews 11:32 2:38 and the passion,310.27,Hebrews 11:32,True,Hebrews,NEW,57,11,32,11,32
25,o0HEwTHovJQ,2020-05-14,1589428800000,2020,5,14,4.619,,FORWARD - ALL AROUND VICTORY P2 TV,7,1,that in 1st Corinthians chapter 10 that,655.22,1 Corinthians 10,True,1 Corinthians,NEW,45,0,0,0,0
26,o0HEwTHovJQ,2020-05-14,1589428800000,2020,5,14,3.511,,FORWARD - ALL AROUND VICTORY P2 TV,7,1,look at Matthew 6 we know the,846.899,Matthew 6,True,Matthew,NEW,39,6,0,6,0
27,o0HEwTHovJQ,2020-05-14,1589428800000,2020,5,14,3.93,,FORWARD - ALL AROUND VICTORY P2 TV,7,1,description Matthew 6:33 seek first the,848.25,Matthew 6:33,True,Matthew,NEW,39,6,33,6,33
28,o0HEwTHovJQ,2020-05-14,1589428800000,2020,5,14,5.46,,FORWARD - ALL AROUND VICTORY P2 TV,7,1,a lot of people quote Psalms 91 and they,1074.23,Psalms 91,True,Psalms,OLD,18,91,0,91,0
29,o0HEwTHovJQ,2020-05-14,1589428800000,2020,5,14,5.191,,FORWARD - ALL AROUND VICTORY P2 TV,7,1,contents the Bible is clear Psalms 91,1087.309,Psalms 91,True,Psalms,OLD,18,91,0,91,0
30,o0HEwTHovJQ,2020-05-14,1589428800000,2020,5,14,3.3,,FORWARD - ALL AROUND VICTORY P2 TV,7,1,Philippians 4:19 people quoted you know,1134.89,Philippians 4:19,True,Philippians,NEW,49,4,19,4,19
31,o0HEwTHovJQ,2020-05-14,1589428800000,2020,5,14,4.26,,FORWARD - ALL AROUND VICTORY P2 TV,7,1,says in numbers 14 we're going back to,1264.82,Numbers 14,True,Numbers,OLD,3,14,0,14,0
32,o0HEwTHovJQ,2020-05-14,1589428800000,2020,5,14,4.26,,FORWARD - ALL AROUND VICTORY P2 TV,7,1,that story numbers chapter 14 6 through,1266.77,Numbers 14,True,Numbers,OLD,3,14,0,14,0
33,o0HEwTHovJQ,2020-05-14,1589428800000,2020,5,14,5.37,,FORWARD - ALL AROUND VICTORY P2 TV,7,1,God's perfect will Romans chapter 12,1433.75,Romans 12,True,Romans,NEW,44,12,0,12,0
34,0mtRHrOyTLU,2021-04-28,1619582400000,2021,4,28,13.959,,So precious!!,24,1,what's john 3 16.,0.08,John 3:16,True,John,NEW,42,3,16,3,16
35,cTgfw_S4Rc4,2021-10-25,1635134400000,2021,10,25,3.92,,Sunday Night,128,1,just real quick genesis 26 i want to,692.72,Genesis 26,True,Genesis,OLD,0,26,0,26,0
36,cTgfw_S4Rc4,2021-10-25,1635134400000,2021,10,25,4.48,,Sunday Night,128,1,will bless his people amen genesis 26 i,733.44,Genesis 26,True,Genesis,OLD,0,26,0,26,0
37,cTgfw_S4Rc4,2021-10-25,1635134400000,2021,10,25,5.519,,Sunday Night,128,1,for me genesis 26 verse 1,739.76,Genesis 26:1,True,Genesis,OLD,0,26,1,26,1
38,cTgfw_S4Rc4,2021-10-25,1635134400000,2021,10,25,4.799,,Sunday Night,128,1,amen but guess what isaiah chapter two,790.48,Isaiah 2,True,Isaiah,OLD,22,2,0,2,0
39,cTgfw_S4Rc4,2021-10-25,1635134400000,2021,10,25,4.32,,Sunday Night,128,1,this earlier jeremiah 29 11 does not,968.079,Jeremiah 29:11,True,Jeremiah,OLD,23,29,11,29,11
40,cTgfw_S4Rc4,2021-10-25,1635134400000,2021,10,25,3.199,,Sunday Night,128,1,luke chapter 12 verse 35 i want to show,1860.72,Luke 12:35,True,Luke,NEW,41,12,35,12,35
41,cTgfw_S4Rc4,2021-10-25,1635134400000,2021,10,25,4.961,,Sunday Night,128,1,luke chapter 12 verse 35,1865.519,Luke 12:35,True,Luke,NEW,41,12,35,12,35
42,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,6.84,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,the power of dwelling Psalms 91 come on,386.039,Psalms 91,True,Psalms,OLD,18,91,0,91,0
43,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,6.991,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,listen to me tonight Psalms 91 verse 1,390.029,Psalms 91:1,True,Psalms,OLD,18,91,1,91,1
44,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,4.44,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,Isaiah 55 I'm just kind of giving you,436.52,Isaiah 55,True,Isaiah,OLD,22,55,0,55,0
45,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,6.63,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,been teaching but Isaiah chapter 55 the,440.96,Isaiah 55,True,Isaiah,OLD,22,55,0,55,0
46,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,5.489,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,back I feel the Holy Ghost Psalms 91,732.66,Psalms 91,True,Psalms,OLD,18,91,0,91,0
47,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,6.421,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,verse 1 everybody quotes songs 91 that,735.029,Songs 91,True,Songs,OLD,21,91,0,91,0
48,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,3.48,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,Psalms 91 is probably like,748.41,Psalms 91,True,Psalms,OLD,18,91,0,91,0
49,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,6.02,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,considering John 3:16 everybody has,751.89,John 3:16,True,John,NEW,42,3,16,3,16
50,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,6.46,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,91 the whole songs of ninety-one until,757.91,Songs 91,True,Songs,OLD,21,91,0,91,0
51,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,4.351,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,you deal with songs 91 verse 1 and,761.579,Songs 91:1,True,Songs,OLD,21,91,1,91,1
52,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,5.719,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,tonight we're gonna deal with songs 91,765.93,Songs 91,True,Songs,OLD,21,91,0,91,0
53,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,3.93,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,right Galatians chapter 5 let's look at,1604.81,Galatians 5,True,Galatians,NEW,47,5,0,5,0
54,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,6.0,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,okay so Psalms 91 the Bible says we,2001.53,Psalms 91,True,Psalms,OLD,18,91,0,91,0
55,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,6.39,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,think oh yeah Luke chapter 15 the the,2070.3,Luke 15,True,Luke,NEW,41,15,0,15,0
56,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,6.57,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,so again John 15 John I'm Psalms 91,2632.65,John 15,True,John,NEW,42,15,0,15,0
57,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,7.109,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,watch this John 15 abide in me and my,2665.26,John 15,True,John,NEW,42,15,0,15,0
58,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,5.04,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,first first Corinthians 9 I could be,3213.94,1 Corinthians 9,True,1 Corinthians,NEW,45,0,0,0,0
59,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,5.7,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,first Corinthians 9:24 all the way to,3218.98,1 Corinthians 9:24,True,1 Corinthians,NEW,45,0,0,0,0
60,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,5.79,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,first corinthians chapter 10 is so,3222.4,1 Corinthians 10,True,1 Corinthians,NEW,45,0,0,0,0
61,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,7.109,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,first Corinthians 9:24 and there's gonna,3250.71,1 Corinthians 9:24,True,1 Corinthians,NEW,45,0,0,0,0
62,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,9.379,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,Corinthians 9 first Corinthians 9 verse,3268.24,1 Corinthians 9,True,1 Corinthians,NEW,45,0,0,0,0
63,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,10.049,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,again first Corinthians chapter 9 2014 2,3330.79,1 Corinthians 9,True,1 Corinthians,NEW,45,0,0,0,0
64,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,6.091,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,first Corinthians 9 swing over here all,3368.829,1 Corinthians 9,True,1 Corinthians,NEW,45,0,0,0,0
65,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,4.59,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,in Exodus chapter 3 when I came around,4476.89,Exodus 3,True,Exodus,OLD,1,3,0,3,0
66,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,3.929,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,earlier Psalms 27 there's one thing that,4525.52,Psalms 27:1,True,Psalms,OLD,18,27,1,27,1
67,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,4.35,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,desire working the Psalms 27 and then,4659.25,Psalms 27,True,Psalms,OLD,18,27,0,27,0
68,4AYsgJ5V4cc,2020-07-01,1593576000000,2020,7,1,4.47,,IN HIS PRESENCE - WINNING THE WAR THROUGH SPIRITUAL DISCIPLINE,63,1,about how and Isaiah 28 read then I mean,5328.11,Isaiah 28,True,Isaiah,OLD,22,28,0,28,0
69,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,5.44,,Spirituality,128,1,romans chapter four he's staggered not,177.92,Romans 4,True,Romans,NEW,44,4,0,4,0
70,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,3.6,,Spirituality,128,1,fulfill matthew 6 33 says the spirit of,940.0,Matthew 6:33,True,Matthew,NEW,39,6,33,6,33
71,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,3.6,,Spirituality,128,1,you have your bibles go to matthew 25.,1865.679,Matthew 25,True,Matthew,NEW,39,25,0,25,0
72,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,6.0,,Spirituality,128,1,matthew 25 the book of matthew the,1870.559,Matthew 25,True,Matthew,NEW,39,25,0,25,0
73,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,3.12,,Spirituality,128,1,matthew 25.,1876.559,Matthew 25,True,Matthew,NEW,39,25,0,25,0
74,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,2.88,,Spirituality,128,1,matthew 25 if you've never read the,1886.96,Matthew 25,True,Matthew,NEW,39,25,0,25,0
75,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,4.88,,Spirituality,128,1,it will truly encourage him matthew 25,1889.84,Matthew 25,True,Matthew,NEW,39,25,0,25,0
76,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,7.439,,Spirituality,128,1,matthew 25 31 when the son of man,1904.72,Matthew 25:31,True,Matthew,NEW,39,25,31,25,31
77,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,3.6,,Spirituality,128,1,what am i saying in matthew 25,2184.8,Matthew 25,True,Matthew,NEW,39,25,0,25,0
78,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,4.0,,Spirituality,128,1,according to matthew 25 jesus is on the,2206.88,Matthew 25,True,Matthew,NEW,39,25,0,25,0
79,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,4.32,,Spirituality,128,1,according to matthew 25 he's in prison,2210.88,Matthew 25,True,Matthew,NEW,39,25,0,25,0
80,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,3.601,,Spirituality,128,1,according to matthew 25,2213.359,Matthew 25,True,Matthew,NEW,39,25,0,25,0
81,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,3.6,,Spirituality,128,1,needs clothing according to matthew 25,2216.96,Matthew 25,True,Matthew,NEW,39,25,0,25,0
82,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,3.76,,Spirituality,128,1,the bible says in malachi chapter 3,2235.04,Malachi 3,True,Malachi,OLD,38,3,0,3,0
83,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,3.6,,Spirituality,128,1,according to luke 6 38,2402.32,Luke 6:38,True,Luke,NEW,41,6,38,6,38
84,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,4.4,,Spirituality,128,1,lack thank you for psalms 23 god,2584.56,Psalms 23,True,Psalms,OLD,18,23,0,23,0
85,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,5.52,,Spirituality,128,1,zephaniah chapter 3 verse 17,2915.28,Zephaniah 3:17,True,Zephaniah,OLD,35,3,17,3,17
86,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,4.08,,Spirituality,128,1,even in isaiah chapter two,2980.16,Isaiah 2,True,Isaiah,OLD,22,2,0,2,0
87,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,3.121,,Spirituality,128,1,which i love so much isaiah chapter 2,2982.079,Isaiah 2,True,Isaiah,OLD,22,2,0,2,0
88,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,4.32,,Spirituality,128,1,ecclesiastes chapter 10 the bible talks,3003.68,Ecclesiastes 10,True,Ecclesiastes,OLD,20,10,0,10,0
89,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,2.96,,Spirituality,128,1,all right matthew 11 28 write the,3227.599,Matthew 11:28,True,Matthew,NEW,39,11,28,11,28
90,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,3.039,,Spirituality,128,1,hebrews chapter 11 very familiar uh i'm,3613.52,Hebrews 11,True,Hebrews,NEW,57,11,0,11,0
91,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,4.721,,Spirituality,128,1,hebrews chapter 12 verse 1. hebrews,3616.559,Hebrews 12:1,True,Hebrews,NEW,57,12,1,12,1
92,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,5.52,,Spirituality,128,1,hebrews chapter 12 verse 1.,3624.799,Hebrews 12:1,True,Hebrews,NEW,57,12,1,12,1
93,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,4.08,,Spirituality,128,1,hebrews chapter 12 1 and you could just,3627.68,Hebrews 12,True,Hebrews,NEW,57,12,0,12,0
94,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,4.319,,Spirituality,128,1,uh hebrews chapter 12 verse 11 no,3978.48,Hebrews 12:11,True,Hebrews,NEW,57,12,11,12,11
95,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,3.281,,Spirituality,128,1,uh in hosea chapter four verse six a lot,4192.239,Hosea 4:6,True,Hosea,OLD,27,4,6,4,6
96,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,3.84,,Spirituality,128,1,psalms 91 verse 10 he says no evil shall,4246.56,Psalms 91:10,True,Psalms,OLD,18,91,10,91,10
97,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,2.559,,Spirituality,128,1,proverbs 4 7,4362.64,Proverbs 4:7,True,Proverbs,OLD,19,4,7,4,7
98,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,4.72,,Spirituality,128,1,a lot of you guys know psalms 91 okay,4412.4,Psalms 91,True,Psalms,OLD,18,91,0,91,0
99,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,2.48,,Spirituality,128,1,psalms 91 is the probably the most,4415.36,Psalms 91,True,Psalms,OLD,18,91,0,91,0
100,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,4.0,,Spirituality,128,1,psalms everybody got psalms 91,4419.52,Psalms 91,True,Psalms,OLD,18,91,0,91,0
101,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,3.12,,Spirituality,128,1,psalms 91 verse 1.,4423.52,Psalms 91:1,True,Psalms,OLD,18,91,1,91,1
102,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,3.92,,Spirituality,128,1,psalm 91 verse one we're talking about,4425.04,Psalm 91:1,True,Psalms,OLD,18,91,1,91,1
103,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,4.32,,Spirituality,128,1,swing over to psalms 91,4428.96,Psalms 91,True,Psalms,OLD,18,91,0,91,0
104,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,3.6,,Spirituality,128,1,psalms 91 he who dwells he who sits he,4651.04,Psalms 91,True,Psalms,OLD,18,91,0,91,0
105,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,4.48,,Spirituality,128,1,psalms 91 the rest of psalms 91,4742.96,Psalms 91,True,Psalms,OLD,18,91,0,91,0
106,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,5.52,,Spirituality,128,1,this matthew 6 33 jesus says what,4771.12,Matthew 6:33,True,Matthew,NEW,39,6,33,6,33
107,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,4.8,,Spirituality,128,1,i want to show you this romans chapter 4,4895.52,Romans 4,True,Romans,NEW,44,4,0,4,0
108,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,2.72,,Spirituality,128,1,all right romans chapter four let's go,4998.32,Romans 4,True,Romans,NEW,44,4,0,4,0
109,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,4.24,,Spirituality,128,1,romans chapter four very powerful,5001.76,Romans 4,True,Romans,NEW,44,4,0,4,0
110,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,4.24,,Spirituality,128,1,scripture romans chapter four verse 18,5003.6,Romans 4:18,True,Romans,NEW,44,4,18,4,18
111,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,4.321,,Spirituality,128,1,romans chapter 4 getting back to it,5278.159,Romans 4,True,Romans,NEW,44,4,0,4,0
112,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,2.56,,Spirituality,128,1,right here again romans chapter 4 verse,5356.48,Romans 4,True,Romans,NEW,44,4,0,4,0
113,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,3.679,,Spirituality,128,1,i know that in psalms 91 i've been,5527.52,Psalms 91,True,Psalms,OLD,18,91,0,91,0
114,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,5.76,,Spirituality,128,1,second corinthians 4 16. i messed up man,7545.52,2 Corinthians 4:16,True,2 Corinthians,NEW,46,0,0,0,0
115,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,5.04,,Spirituality,128,1,preachers and all this psalms 91 all,7574.639,Psalms 91,True,Psalms,OLD,18,91,0,91,0
116,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,3.68,,Spirituality,128,1,matthew 25.,7985.36,Matthew 25,True,Matthew,NEW,39,25,0,25,0
117,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,3.44,,Spirituality,128,1,and then people quote romans eight,8039.36,Romans 8,True,Romans,NEW,44,8,0,8,0
118,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,7.361,,Spirituality,128,1,go into galatians chapter 5 verse 16,8196.639,Galatians 5:16,True,Galatians,NEW,47,5,16,5,16
119,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,7.681,,Spirituality,128,1,galatians 5 16 it says this,8199.599,Galatians 5:16,True,Galatians,NEW,47,5,16,5,16
120,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,5.2,,Spirituality,128,1,spirit galatians 5 16.,8209.76,Galatians 5:16,True,Galatians,NEW,47,5,16,5,16
121,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,4.799,,Spirituality,128,1,wise the five foolish matthew 25 the,8436.56,Matthew 25,True,Matthew,NEW,39,25,0,25,0
122,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,3.919,,Spirituality,128,1,just kidding all right luke chapter 10,9019.52,Luke 10,True,Luke,NEW,41,10,0,10,0
123,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,3.199,,Spirituality,128,1,luke chapter 10 we're talking about,9024.24,Luke 10,True,Luke,NEW,41,10,0,10,0
124,2zMq5dHOyg8,2021-06-23,1624420800000,2021,6,23,4.641,,Spirituality,128,1,luke chapter 10 verse 38 now came to,9027.439,Luke 10:38,True,Luke,NEW,41,10,38,10,38
125,ypzB-FJn9vM,2021-04-25,1619323200000,2021,4,25,4.88,,Sunday Night Service: Dominion - The Mind of Christ Pt. 2,134,1,book of john chapter 21 and,1831.039,John 21,True,John,NEW,42,21,0,21,0
126,ypzB-FJn9vM,2021-04-25,1619323200000,2021,4,25,3.52,,Sunday Night Service: Dominion - The Mind of Christ Pt. 2,134,1,go to john chapter 21,1967.279,John 21,True,John,NEW,42,21,0,21,0
